headline,article_link,is_sarcastic
God distances himself from Scott Morrison after hearing what he does to kids ,https://chaser.com.au/national/god-distances-himself-from-scott-morrison-after-hearing-what-he-does-to-kids/,1
Angus Taylor takes break from dodgy Federal deals to do some dodgy state deals instead ,https://chaser.com.au/national/angus-taylor-takes-break-from-dodgy-federal-deals-to-do-some-dodgy-in-state-deals/,1
“Legally you have to tell me if you’re a cop” stoner yells at his phone ,https://chaser.com.au/general-news/legally-you-have-to-tell-me-if-youre-a-cop-stoner-yells-at-his-phone/,1
“There’s no money to help arts workers” says government spending $7 million to detain two kids ,https://chaser.com.au/national/theres-no-money-to-help-arts-workers-says-government-spending-7-million-to-detain-two-kids/,1
Herald Sun asks if Dan Andrews was arrested in the AFP/FBI bust ,https://chaser.com.au/general-news/herald-sun-asks-if-dan-andrews-was-arrested-in-the-afp-fbi-bust/,1
Aussie Government relieved to hear someone else fucked the internet up for once ,https://chaser.com.au/national/aussie-government-relieved-to-hear-someone-else-fucked-the-internet-up-for-once/,1
‘FUUUUUUUCK’ says newspaper tech guy ,https://chaser.com.au/world/fuuuuuuuck-says-newspaper-tech-guy/,1
War Memorial upgrade to include interactive war crime game for the kids ,https://chaser.com.au/general-news/war-memorial-upgrade-to-include-interactive-war-crime-game-for-the-kids/,1
Morrison pledges to pray extra hard that someone will help Biloela family ,https://chaser.com.au/general-news/morrison-pledges-to-pray-extra-hard-that-someone-will-help-biloela-family/,1
Nation wondering how it let itself get to this point ,https://chaser.com.au/general-news/nation-wondering-how-it-let-itself-get-to-this-point/,1
God distances himself from Scott Morrison after hearing what he does to kids ,https://chaser.com.au/national/god-distances-himself-from-scott-morrison-after-hearing-what-he-does-to-kids/,1
Angus Taylor takes break from dodgy Federal deals to do some dodgy state deals instead ,https://chaser.com.au/national/angus-taylor-takes-break-from-dodgy-federal-deals-to-do-some-dodgy-in-state-deals/,1
“Legally you have to tell me if you’re a cop” stoner yells at his phone ,https://chaser.com.au/general-news/legally-you-have-to-tell-me-if-youre-a-cop-stoner-yells-at-his-phone/,1
“There’s no money to help arts workers” says government spending $7 million to detain two kids ,https://chaser.com.au/national/theres-no-money-to-help-arts-workers-says-government-spending-7-million-to-detain-two-kids/,1
Herald Sun asks if Dan Andrews was arrested in the AFP/FBI bust ,https://chaser.com.au/general-news/herald-sun-asks-if-dan-andrews-was-arrested-in-the-afp-fbi-bust/,1
Aussie Government relieved to hear someone else fucked the internet up for once ,https://chaser.com.au/national/aussie-government-relieved-to-hear-someone-else-fucked-the-internet-up-for-once/,1
‘FUUUUUUUCK’ says newspaper tech guy ,https://chaser.com.au/world/fuuuuuuuck-says-newspaper-tech-guy/,1
War Memorial upgrade to include interactive war crime game for the kids ,https://chaser.com.au/general-news/war-memorial-upgrade-to-include-interactive-war-crime-game-for-the-kids/,1
Morrison pledges to pray extra hard that someone will help Biloela family ,https://chaser.com.au/general-news/morrison-pledges-to-pray-extra-hard-that-someone-will-help-biloela-family/,1
Nation wondering how it let itself get to this point ,https://chaser.com.au/general-news/nation-wondering-how-it-let-itself-get-to-this-point/,1
“Help the sick refugee children you fuckwits” yells LNP empathy consultant ,https://chaser.com.au/national/help-the-sick-refugee-children-you-fuckwits-yells-lnp-empathy-consultant/,1
Annastacia Palaszczuk to compete in Olympic archery after drawing incredibly long bow ,https://chaser.com.au/general-news/annastacia-palaszczuk-to-compete-in-olympic-archery-after-drawing-incredibly-long-bow/,1
Party that covered up a rape for two years demands immediate action against liking tweets ,https://chaser.com.au/national/party-that-covered-up-a-rape-for-two-years-demands-immediate-action-against-liking-tweets/,1
Victorian in lockdown devastated to hear Sydney is experiencing mildly chilly weather ,https://chaser.com.au/general-news/victorian-in-lockdown-devastated-to-hear-sydney-is-experiencing-mildly-chilly-weather/,1
ABC pulls Four Corners episode after discovering Ita Buttrose is Q ,https://chaser.com.au/national/abc-pulls-four-corners-episode-after-discovering-ita-buttrose-is-q/,1
Morrison announces ‘100% of essential workers got the jab’ ,https://chaser.com.au/national/morrison-announces-100-of-essential-workers-got-the-jab/,1
Netanyahu steps down as leader of Israel to spend more time murdering children ,https://chaser.com.au/world/netanyahu-steps-down-as-leader-of-israel-to-spend-more-time-murdering-children/,1
"Scott Morrison sends sympathies to Naomi Osaka, stating he also hates journalists ",https://chaser.com.au/general-news/scott-morrison-sends-sympathies-to-naomi-osaka-stating-he-also-hates-journalists/,1
"Channel 9 denies lack of diversity in Covid ad, “Karl is a person of colour” ",https://chaser.com.au/entertainment/channel-9-denies-lack-of-diversity-in-covid-ad-karl-is-a-person-of-colour/,1
Greg Hunt wishing there was some way to stop unvaccinated people getting Covid ,https://chaser.com.au/national/greg-hunt-wishing-there-was-some-way-to-stop-unvaccinated-people-getting-covid/,1
ABC suffers humiliating big fucking win over Porter ,https://chaser.com.au/national/abc-suffers-humiliating-big-fucking-win-over-porter-reflecting-on-their-editorial-standards/,1
Naomi Osaka wishes she was just a man pushing anti-vaxxer theories instead ,https://chaser.com.au/sport/naomi-osaka-wishes-she-was-just-a-man-pushing-anti-vaxxer-theories-instead/,1
PM reassures Victorians that he is willing to give JobKeeper to Gerry Harvey ,https://chaser.com.au/national/pm-reassures-victorians-that-he-is-willing-to-give-jobkeeper-to-gerry-harvey/,1
NSW voters in shock after what’s-her-name steps down as Labor Leader ,https://chaser.com.au/general-news/nsw-voters-in-shock-after-whats-her-name-steps-down-as-labor-leader/,1
Greg Hunt suspects he might have fucked up after even Sunrise rips him a new one ,https://chaser.com.au/national/hunt-suspects-he-might-have-fucked-up-after-even-sunrise-rips-him-a-new-one/,1
